title,code,song_by,status
I Love You Always Forever,17921,Donna Lewis,New
I Miss Her,17757,Jessie J.,New
I Miss You,18121,Blink 182,New
I Took A Pill In Ibiza,17743,Mike Posner,New
I Touch Myself,17640,Divinyls,New
I Wanna Sex You Up,17354,Color Me Bad,New
I Was Only Joking,17526,Rod Stewart,New
I Will Always Wait For You,17895,Burton Cummings,New
I Will Wait,17271,Gracenote,New
I Won't Tell A Soul,17869,Charlie Puth,New
I'd Rather Go Blind,17948,Beyonce,New
Iduyan Mo,17867,Basil Valdez,New
If Ever I See You Again,17661,Roberta Flack,New
If I Didn't Love You,17860,Tina Arena,New
If I Have To,17493,Avery Wilson,New
If I Were You,17615,Tamia,New
If Only,18105,Sarah Geronimo,New
If We Try,17117,Don Mclean,New
If You Only Knew,17527,Gil ft Moffats,New
Ikaw,17249,Erik Santos,New
Ikaw Ang Buhay Ko,18053,Ogie Alcasid,New
Ikaw Ang True Love Ko,18106,Sheryl Cruz,New
Ikaw At Ako,17969,Johnoy Danao,New
Ikaw At Ako,18215,Krausswind,New
Ikaw Lamang,18107,Martin Nievera,New
Ikaw Pa Rin,18108,Tito Mina,New
Ikaw Pa Rin Ang Mamahalin,17901,April Boys,New
I'll Be There For You,18160,Solid Harmonie,New
I'll Never Stop,18141,N' Sync,New
I'll Show You,17286,Justin Bieber,New
I'm Already King,18209,"Christian
Bautista",New
I'm In love With A Monster,17516,5Th Harmony,New
I'm Ready,17872,Tevin Campbell,New
I'm Sorry,18111,Adam Wakefield,New
I'm Still In Love With You,18251,New Edition,New
I'm Stone In Love With You,18200,The Stylistics,New
I'm The Plug,17245,Drake And Future,New
I'm Through With Love,17756,Eric Carmen,New
Imagine You And Me,17924,Maine Mendoza,New
Imagine You And Me,18042,Maine Mendoza and Alden,New
Imahinasyon,17878,TJ Monterde,New
Immortalized,17378,Disturbed,New
In Love With A Boy,18029,Kaya Stewart,New
In My Head,18210,Jason Derulo,New
In My Life,18149,Bette Midler,New
In The End,18101,Eric Benet,New
In Too Deep,17978,Sum 41,New
Infinity,17976,One Direction,New
Ingatan Mo Ang Salitang Mahal Kita,17128,Orlando Sol,New
Iniwan,17154,Grin Department,New
Innocent Man,18112,Billy Joel,New
Inside Out,18235,The Chainsmokers,New
Into My Arms,18220,"Nick Cave &
Bad Seeds",New
Into You,17925,Ariana Grande,New
Invincible,17132,Kelly Clarkson,New
Isang Araw,17196,Kaye,New
Isang Pangarap,17362,Dulce,New
It Ain't Easy Coming Down,18194,"Charlene
Duncan",New
It Girl,18222,Jason Derulo,New
It Hurts To Be Love,17188,Gino Vannelli,New
It Takes A Man And A Woman,18119,Teri Da Sario,New
It's Hard To Say Goodbye,17731,Regine & Paul Anka,New
It's Not Easy Letting Go,17502,Daryl Ong,New
It's Wrong For Me To Love You,18001,Pia Zadora,New
It's You,17737,Zayn Malik,New
I've Been In Love Before,17180,Cutting Crew,New
Jealous,17870,Labrinth,New
Jet Black Heart,17386,"5 Seconds Of
Summer",New
Jet Lag,17375,Simple Plan,New
"John Cougar, John Deere,
John 3:16",17472,Keith Urban,New
Jumpman,17284,Drake And Future,New
Just A Feeling,17542,Maroon 5,New
Just A Love Song,17763,"Walter Murphy
Band",New
Just A Smile Away,18138,Jaime Garchitorena,New
Just A Song Before I Go,17846,"Crosby Stills
Nash & Young",New
Just A Word Away,18070,Chris de Burgh,New
Just For A Moment,18139,David Foster & Amy Holland,New
Just Like Fire,17932,Pink,New
Just Like Them Horses,17649,Reba McEntyre,New
Kahit Ako'y Pangit,18148,Roel Cortez,New
Kahit Kunwari Lang,17736,Claire Dela Fuente,New
Kahit Sa Panaginip Lang,17541,Join The Club,New
Kaibigan Mo,17912,"Sarah
Geronimo ft",New
Kailan,18246,Basil Valdez,New
Karaniwang Tao,17113,"Heber
Bartolome",New
Kick The Dust Up,17137,Luke Bryan,New
Kids,18229,OneRepublic,New
Kilig,17200,Maja Salvador,New
Kilig,17263,Jinky Vidal,New
Kill 'Em With Kindness,18052,Selena Gomez,New
King Of The World,17572,Weezer,New
Kiss It Better,17753,Rihanna,New
Kumusta Ka,17155,Nonoy Zuniga,New
Kung Alam Mo Lang,18236,Jed Madela,New
"Kung Ayaw Mo, Huwag Mo",17778,Rivermaya,New
Kung Di Magkatagpo,18278,Enrique and Liza,New
Kung Fu Fighting,17667,The Vamps,New
Kung Pwede Lang,17937,Lovi Poe,New
Kung Pwede Lang,18265,Sabrina,New
Kurakot,17677,"Banda Ni
Kleggy",New
Laban Pa,18030,KZ Tandingan And Jay R,New
Lagi Mong Tatandaan,17678,"Parokya Ni
Edgar",New
Langit Na Rin,18050,JC De Vera,New
Last Kiss,17875,Pearl Jam,New
Latch (Acoustic),18019,Sam Smith,New
Lay It All On Me,17288,Rudimental ft Ed Sheeran,New
Lay Me Down,17530,Adele,New
Lead The Way,18216,Mariah Carey,New
Lean On,17161,Major Lazer DJ Snake ft Mø,New
Let It Go,18176,James Bay,New
Let Me In,18031,Mike Francis,New
Let Me Love You,17958,"Ariana Grande
ft Lil Wayne",New
Let Me Love You,18264,DJ Snake ft. Jutin Bieber,New
Let Me See Ya Girl,17303,Cole Swindell,New
Let My Fire Out,17146,"Frencheska
Farr",New
Let's Give A Little More This Time,17938,Sergio Mendes,New
Let's Just Fall In Love Again,18273,Jason Castro,New
Levels,17141,Nick Jonas,New
Life Goes On,17147,LeAnn Rimes,New
Life Is Worth Living,17847,Justin Bieber,New
Lifted,18130,CL,New
Like A Wrecking Ball,17215,Eric Church,New
Little More,17811,Chris Brown,New
Live From the Gutter,17246,Drake And Future,New
Liwanag,17451,"Zion Aquino ft
Yeng",New
Locked Away,17163,R. City ft Adam Levine,New
"Long And Lasting Love
(Once In A Lifetime)",18124,Glenn Medeiros,New
Longview,18125,Greenday,New
Looking Through Your Eyes,18247,Leann Rimes,New
Lose My Mind,17297,Brett Eldredge,New
Loser,17566,Beck,New
Lost Boys,17910,Ruth B,New
Lot To Learn,17535,Luke Christopher,New
Love,17740,"Randy
Goodrum",New
Love,18041,Billy Preston and Syreeta,New
Love at Website,18279,Ronnie Alonte,New
Love Me Kill Me,17459,Maja Salvador,New
Love Me Like You,17319,Little Mix,New
Love Me Like You Mean It,17133,Kelsea Ballerini,New
Love Me Somebody,17136,Bad Company,New
Love Myself,17126,Hailee Steinfeld,New
Love Really Hurts Without You,17531,Billy Ocean,New
Love So Right,17825,Bee Gees,New
Love Yourself,17379,Justin Bieber,New
Lovefool,17545,The Cardigans,New
Lovers In The Wind,18002,Roger Hodgson,New
Lush Life,17579,Zara Larsson,New
Maari Ba,17174,Beverly Caimen,New
Mabuti Pa,17513,Daryl Ong,New
Maghihintay,17871,Mark Allain,New
Maghihintay Ako,17953,Jona,New
Magkaisa,17939,Virna Lisa,New
Mahal Ka Sa Akin,17915,Tanya,New
"Mahalan, Lambingan, Bulungan",18140,Joey Albert,New
Mahiwagang Kamote,17567,FrancisM,New
Make Me,18037,Britney Spears,New
Makin' Moves,17422,Darren Espanto,New
Makin' Plans,17645,Miranda Lambert,New
Mama Said,18260,Lukas Graham,New
Mananatili,17760,Marlo Mortel & Janella,New
Marry Me,17539,Jason Derulo,New
Me Too,17908,Maegan Trainor,New
Middle,17920,DJ Snake ft Bipolar,New
Milagro,17453,Jason Dy,New
Minahal Kita Ng Labis,18116,Rockstar 2,New
Minamahal Pa Rin Ako,17755,Daryl Ong,New
Miss Kita,18258,J Brothers,New
Miss You Finally,17940,Trademark,New
Misty Blue,17647,Dorothy Moore,New
Money,17739,Lawson,New
"More, More, More",17848,"Andrea True
Connection",New
Morning Noon And Night Time,17711,Jane Olivor,New
Mr. Lonely,17662,Victor Wood,New
Mr. Pakipot,18263,Myrtle Sarrosa,New
Mr. Sun,17312,Ryan Christopher,New
Muling Binuhay Mo,17652,"Ciamara
Morales",New
My Boo,17839,Ghost Town Djs,New
My Church,17646,Maren Morris,New
My Favorite Part,18244,"Mac Miller feat.
Ariana Grande",New
My Funny Valentine,18250,Frank Sinatra,New
My Heart,17460,Paramore,New
My House,17922,Flo Rida,New
My Summertime Love,17849,Juan Carlos Labajo,New
My Way,17125,Fetty Wap,New
Nagsimula Sa Puso,17911,Sarah Geronimo,New
Nakakainis,17864,"Parokya Ni
Edgar",New
Naked,17540,Jason Derulo,New
Name,17122,Goo Goo Dolls,New
Nang Dahil Sa Pag-big,18142,Bugoy Drilon,New
Naririto Ako,17656,Willie Revillame,New
Nasaan Ang Pangako,18143,Anja Aguilar,New
Nasaan Ang Pangako,18156,Roger Mendoza,New
Nasty Freestyle,17106,T-Wayne,New
National Anthem,18043,Lana del Rey,New
New Romantics,17850,Taylor Swift,New
New Thang,17148,Redfoo,New
No,17742,Meghan Trainor,New
No Broken Hearts,18255,Bebe Rexha ft. Nicki Minaj,New
No Control,17277,One Direction,New
No Ordinary Love,18044,Jennifer Love Hewitt,New
No Time For It,18015,Fantasia,New
Not Impressed,17130,Julie Anne San Jose,New
Now I'm Dancing,17178,Callalily,New
Nyebe,17674,Kaye Cal,New
O Pag-ibig,18109,Bailey May and Ylona Garcia,New
Old Friend,18129,Phyllis Hyman,New
On My Mind,17546,Ellie Goulding,New
On My Own,17657,Miley Cyrus,New
On The Outside,17468,Taylor Swift,New
On The Wings Of Love,17458,Kyla,New
On The Wings Of Love,17941,"Regine
Velasquez",New
One Away,18234,Sean Kingston,New
One Call Away,17497,Charlie Puth,New
One Dance,18048,Drake Ft Kyla and Wizkid,New
One Flight Down,17547,Norah Jones,New
One For Sorrow,17548,Steps,New
One Hell Of A Night,17118,Dustin Lynch,New
One Hell Of An Amen,17115,Brantley Gilbert,New
One Last Memory,17185,Impact,New
One More Try,17549,Timmy T.,New
One On One,17887,Hall & Oats,New
Only When I Sleep,17852,The Corrs,New
Only You,17707,After Image,New
Opinion Overload,17675,Simple Plan,New
Otso Pa,17750,Grin Department,New
Out Of The Woods,17467,Taylor Swift,New
Out Of Touch,17720,Hall & Oates,New
Outlaw,17972,Sandwich,New
Outsiders,17461,Against The Current,New
Over,17644,Lindsay Lohan,New
Over And Over Again,17536,"Nathan Skies ft
Arianna Grande",New
Paalam Na Sa'Yo,18100,April Boys,New
Paano,17889,Dulce,New
Pabili Po,18224,Banda Ni Kleggy ft Aikee,New
Pag May Alak May Balak,18036,Skusta Clee,New
Pag-ibig,17193,Spongecola,New
Pag-ibig Lang,17514,Gary Granada,New
Panaginip,18144,Hotdog,New
Panakip Butas,17961,Hajji Alejandro,New
Paniwalaan,18213,Blue Jeans,New
Para Sa Tunay Na Pagbabago,18254,Freddie Aguilar,New
Para Sa 'Yo,17195,Juan Karlos Labajo,New
Paraan,18274,"Sharlene San
Pedro",New
Parachute,17951,Darren Espanto,New
Parang Nalimot Ko Na,17952,"Jolina
Magdangal",New
Parang Wala Lang,17214,Tippy Dos Santos,New
Pasa Diyos,18262,Young JV feat Vice Ganda,New
Pasensya Ka Na,17333,Silent Sanctuary,New
Pasko Ang Damdamin,17269,Freddie Aguilar,New
Passenger,17648,One Republic,New
Patawarin,18046,Piolo Pascual,New
Patay Na Si Uto,17729,Nyoy Volante,New
People Alone,18145,Randy Crawford,New
Perfect,17329,One Direction,New
Perfect Illusion,18228,Lady Gaga,New
Perfect Strangers,18266,Jonas Blue ft JL Cooper,New
Perfectly Imperfect,17206,Sarah Geronimo,New
"Perhaps, Perhaps, Perhaps",17658,Cake,New
Perpekto,17216,Dong Abay,New
Personal,18146,Jessie J.,New
Picture Mo Inday,17448,Grin Department,New
Piece By Piece,17653,Kelly Clarkson,New
Piliin Mo Ang Pilipinas,17659,Angeline Quinto,New
Pilipinas,17473,Quest,New
Pillowtalk,17580,Zayn,New
Pinasmile,17550,Daniel Padilla & Kathryn,New
Please Love Me Now,17462,Eddie Peregrina,New
PPAP Pen Pineapple Apple Pen,18233,Piko Taro,New
Prom,18075,The Juans,New
Puedepende,17770,Edray Teodoro,New
Purpose,17318,Justin Bieber,New
Pwede Ba,17140,3logy,New
R.I.C.O.,17108,"Meek Mill ft
Drake",New
Rainbows End,17942,Sergio Mendez,New
Read All About It,17430,Emeli Sande,New
Real Thing,17954,Kalapana,New
Reaper,17537,Sia,New
Reason To Believe,17135,Lobo,New
Remedy,17281,Adele,New
Remember When,17786,Alan Jackson,New
Renegades,17340,X Ambassadors,New
Rest Your Love,17769,The Vamps,New
Reyna,18218,Derrick Monasterio,New
Right Hand,17553,Drake,New
Right Here Waiting,18239,Clay Aiken,New
Ring Ring,17823,ABBA,New
Rise,18158,Katy Perry,New
River Lea,17650,Adele,New
Road Trip,18033,Hashtags,New
Roads,17121,Lawson,New
Rock Bottom,17930,Hailee Steinfeld ft DNCE,New
Roots,17191,"Imagine
Dragons",New
Roses,17556,The Chainsmokers,New
Rule The World,18013,Take That,New
Rumors,17149,Jake Miller,New
Rumors,17372,Lindsay Lohan,New
Runnin' Away,17651,"Ang Tunay Na
Amo",New
Runnin'(Lose It All),17557,Naughty Boy ft Beyonce and,New
Running With The Wild Things,17777,Against The Current,New
Sa Aking Pagpikit,17776,"Midnight
Meetings",New
Sa Isang Awit,17464,Lyca Gairanod,New
Sa Iyo,18196,"Nikki Bacolod
and Min Yasmin",New
Sa Pag-ikot Ng Mundo,17913,Siakol,New
Sa Paskong Darating,17254,Freddie Aguilar,New
Sa Una Ka Lang Magaling,18057,"Skusta Clee Ft
Flow G",New
Saan Darating Ang Umaga,17212,Raymond Lauchengco,New
Salute,18127,Little Mix,New
Same Old Love,17273,Selena Gomez,New
Sana Bukas Pa Ang Kahapon,17558,Angeline Quinto,New
Sana Mali,17907,Moonstar 88,New
Sana Maulit Muli,18159,Regine Velasquez,New
Sana'y Tumibok Muli,17759,Klarisse De Guzman,New
Sangandaan,17960,Noel Cabangon,New
Sax,17517,Fleur East,New
Scar Tissue,17476,Red Hot Chili Pepper,New
Sea Of Love,17275,"The
Honeydrippers",New
Secret Love Song,17544,Little Mix ft. Jason Derulo,New
Secret Lovers,18085,Atlantic Starr,New
See You Again(Piano),17663,Charlie Puth,New
Selfish Girls,17475,Jake Miller,New
Send In The Clowns,17457,Judy Collins,New
Send My Love (To Your Lover),17977,Adele,New
Sexy Back,18059,"Justin
Timberlake",New
She Never Heard Me Call,18099,Air Supply,New
She's Kinda Hot,18066,5 Seconds Of Summer,New
Shine,17150,Years & Years,New
Should've Been Us,17219,Tori Kelly,New
"Show Me The Way Back
To Your Heart",17949,Brian McKnight,New
Show You,17851,Shawn Mendes,New
Shut Up And Drive,18269,Rihanna,New
Sierra Madre,17886,Coritha,New
Sige Na Nga,17964,Myrus,New
Silakbo,17538,"Miles
Experience",New
Silver Song,18237,Johnny Flynn,New
Sing,17335,Parokya Ni Edgar & Rico,New
Sing For You,17158,Tracy Chapman,New
Singing In The Rain,17974,Simple Plan,New
Sino Ba Ako Sa'yo,18202,Erik Santos,New
Sledgehammer,18134,Rihanna,New
Slow Down,18060,Selena Gomez,New
Slow Down Time,17575,Us The Duo,New
Slow Motion,17107,Trey Songz,New
Smile A Little For Me,18221,"The Flying
Machine",New
Smiling,17766,Hi Rez,New
Smoke Break,17353,Carrie Underwood,New
Softly As I Leave You,18270,Matt Monroe,New
Solb,17865,Siakol,New
Some Type Of Love,18257,Charlie Puth,New
Something Better,17793,Audien ft. Lady Antebellum,New
Somewhere In Between,18161,Lifehouse,New
Song 2,17377,Blur,New
Song About A Girl,17160,Eric Paslay,New
Sorry,17370,Justin Bieber,New
Special Kind Of Something,18162,Kavana,New
Star On A TV Show,18201,The Stylistics,New
Starlight,18032,Darren Espanto,New
Starving,18131,Hailee Steinfeld ft ZEDD,New
Stay,17854,Daryl Ong,New
Stay,18136,FTampa,New
Stay Beautiful,17665,Taylor Swift,New
Stellar,17127,Incubus,New
Still,18268,Hillsong,New
Still Here,18122,Drake,New
Stockholm Syndrome,17143,One Direction,New
Stone Cold,17728,Demi Lovato,New
Stop This Train,18163,John Mayer,New
Strange Clouds,17560,B.o.B ft Lil Wayne,New
Stranger In Moscow,17681,"Michael
Jackson",New
Stressed Out,17574,Twenty One Pilots,New
Strip It Down,17320,Luke Bryan,New
Sucker For Pain,18219,Lil Wayne Wiz Khalifa &,New
Suddenly,17561,Soraya,New
Suffer,17950,Charlie Puth,New
Sugar,17562,Robin Schulz ft Francesco,New
Summer Baby,18177,Imago,New
Summer Girls,17376,LFO,New
Super Trooper,18061,ABBA,New
Superman,18062,Joe Brooks,New
Supernova Scum,18047,The Youth,New
Suwerte,17946,Narda,New
Swallowed,17965,Bush,New
Sweet Lovin,17563,Sigala ftr Bryn Christopher,New
Tabo,17862,"Grin
Department",New
Taciturn,18040,Gracenote,New
Takbo,17732,The Youth,New
Take Me Home,17512,Jess Glynne,New
Talk Me Down,18024,Troye Sivan,New
Talk You Down,18022,The Script,New
Talking To The Moon,18256,Bruno Mars,New
Tama Lang,17758,"Jolina
Magdangal",New
Tandaan Mo To,17250,Erik Santos ft Gloc9,New
Tattooed Heart,17917,Ariana Grande,New
Tayo Lang Dalawa,18164,Donna Cruz,New
Teach Your Children,18063,"Crosby, Stills, Nash & Young",New
Tenderness,18165,General Public,New
Tenerife Sea,18166,Ed Sheeran,New
Tennessee Whiskey,17339,Chris Stapleton,New
Thank You For The Love,17227,"ABS-CBN
Christmas",New
Thank You For Your Love,18168,Dimsum,New
That's Amore,18113,Dean Martin,New
That's How I'm Feelin',17767,Ciara ft Missy Elliott and,New
That's How You Know,17877,"Nico & Vinz ft.
Kid Ink & Bebe",New
That's The Way I Love You,17152,Taylor Swift,New
That's The Way It Is,17683,Celine Dion,New
The A Team,18169,Ed Sheeran,New
The Best Of Me,18153,Cliff Richards,New
The Climb,18245,Miley Cyrus,New
The Diamantina Drover,17463,Redgum,New
The First Time I Ever Saw Your Face,17955,Leona Lewis,New
The Fix,17324,Nelly ft Jeremih,New
The Greatest,18267,Sia,New
The Hills,17287,The Weeknd,New
The Killing Moon,18064,Echo and The Bunnymen,New
The Last Farewell,18199,Roger Whittaker,New
The Last Time I Felt Like This,18098,"Johnny Mathis
& Jane Oliver",New
The Nearness Of You,18170,Norah Jones,New
The One You Love,17768,Glenn Frey,New
The Only One,18171,Lionel Richie,New
The Parting Glass,18123,Ed Sheeran,New
The Philippine Dream,18072,"Q-York ft Diana
D.",New
The Pieces Don't Fit Anymore,18155,James Morrison,New
The Power Of Love,17134,"Laura
Brannigan",New
The Real Slim Shady,18096,Eminem,New
The Rock Show,18045,Blink 182,New
The Story Of Us,18172,Taylor Swift,New
The Way I Love You,17213,Taylor Swift,New
The Way We Used To Be,17641,Eric Carmen,New
There You Go Again,17456,Joey Albert,New
This Century,18190,Bleach Blonde,New
This Is My Life,17469,Shirley Bassey,New
This Is What You Came For,18027,Calvin Harris ft. Rihanna,New
This Summer's Gonna Hurt,17138,Maroon 5,New
Thong Song,17936,Sisqo,New
Thought Of You,17565,Justin Bieber,New
Throwback,17956,Morissette ft. KZ,New
Thunder,18175,Boys Like Girls,New
Tibok,17498,"Cholo and
Shane",New
Tied Together With A Smile,17564,Taylor Swift,New
Till The End,17914,"Six Part
Invention",New
Title,17373,Meghan Trainor,New
To Love Again,17157,Dingdong Avanzado,New
Tonight Looks Good On You,17210,Jason Aldean,New
Too Close,18179,Next,New
Too Close,18225,Blue,New
Toothbrush,18231,DNCE,New
Toxicity,18280,System Of A Down,New
Trap Queen,17252,Fetty Wap,New
Treat You Better,18157,Shawn Mendes,New
Trippin,17573,Eric Benet,New
Try Everything,18020,Shakira,New
Trying To Say Goodbye,18004,Neil Sedaka,New
T-Shirt,17669,Thomas Rhett,New
Tulad Mo,17762,TJ Monterde,New
Tupad Na Ang Pangarap,17204,Camille Santos,New
Turn Back Time,17270,Slapshock,New
Tuwing Umuulan At Kapiling Ka,17893,Basil Valdez,New
Tuwing Umuulan At Kapiling Ka,18281,Eraserheads,New
Twisted,17873,Keith Sweat,New
Two Four,17855,Gracenote,New
UGH!,17666,The 1975,New
Uma Thurman,17123,Fall Out Boy,New
Umagang Kay Ganda,18180,Tillie Moreno and Ray-an,New
Umiiyak Ang Puso,17979,Angeline Quinto,New
Uncover,17874,Zara Larsson,New
Under The Sun,17543,Lawson,New
Undying Admiration,18093,"David
Pomeranz",New
Unlimited And Free,17217,Daniel Padilla,New
Until I Fall In Love Again,18248,Marie Osmond,New
Until The Time Is Through,17712,Five,New
Up And Up,17928,Coldplay,New
Up Dharma Down Medley,17680,"Up Dharma
Down",New
Videoke Queen,17571,Rico Blanco,New
Voodoo Doll,18253,5 Seconds Of Summer,New
Wag Mong Aminin,18276,Rico Blanco,New
Wait For Me,18097,Darryl Hall & John Oates,New
Wake Up,17159,"Coheed And
Cambria",New
Wake Up,17280,The Vamps,New
Wala Pa Ring Iba,18035,Rockstar 2,New
Walang Iwanan,18054,Jason Dy,New
Walking On A Dream,18014,Empire Of The Sun,New
Watch Me Work,17668,Tinashe,New
Water Under The Bridge,17282,Adele,New
We Don't Need Another Hero,18173,Tina Turner,New
We Don't Talk Anymore,17902,"Charlie Puth
feat. Selena",New
Weird,17903,Hanson,New
What Do You Mean,17131,Justin Bieber,New
When I Think Of You,17577,Leiff Garrett,New
When I'm Gone,17926,Before You Exit,New
When Love Hurts,17555,JoJo,New
When The Last Teardrops Falls,17754,Blaque,New
When We Were Young,17342,Adele,New
Where Do Broken Hearts Go,18079,Whitney Houston,New
Where My Love Goes,18023,Lawson,New
Where's The Love,17673,Hanson,New
White Iverson,17326,Post Malone,New
Who Is She To Me,17499,"Christian
Bautista",New
Who Says,18243,John Mayer,New
Whoa Pilipinas,17211,Datus Tribe,New
Wild Thing,17779,The Troggs,New
Wildest Dreams,17151,Taylor Swift,New
Wish I May,17110,Alden Richards,New
With You I'm Born Again,17980,Billy Preston And Syreeta,New
Woman In Love,18003,"The Three
Degrees",New
Words And Music,17826,Andy Gibbs,New
Work,17660,Rihanna ft Drake,New
Work From Home,17621,"Fifth Harmony ft
Ty Dolla Sign",New
Work This Body,17576,Walk The Moon,New
Worlds Collide,17780,Plumb,New
Worthless,17670,Bullet For My Valentine,New
Wow,17655,Mike Kosa ft Ayeeman,New
Write On Me,18230,Fifth Harmony,New
Writings On The Wall,17479,Sam Smith,New
"Yes, I'm Ready",18167,"Teri De Sario &
K.C",New
Yesterday When I Was Young,18204,Glen Campbell,New
Yoga,17109,Janelle Monae & Jidenna,New
You Are My Everything,17880,Calloway,New
You Can't Be Right,17570,Mayonnaise,New
You Get What You Give,18080,New Radicals,New
You Got It All,17752,MYMP,New
You Know You Like It,17105,DJ Snake,New
You Mean The World To Me,17455,Jed Madela,New
You Or Nothing,18074,Hale,New
You Should Be Here,17614,Cole Swindell,New
You Take My Breath Away,18181,Rex Smith,New
Your Love,17428,Eddie Peregrina,New
Your Love,17904,Juris,New
Your Love,18077,The Outfield,New
You're Not In Love,18212,A1,New
Youth,17679,Troye Sivan,New
Zero,17744,Chris Brown,New
Zillionaire,18223,Flo Rida,New
(You're The) Devil In Disguise,18544,Elvis Presley,New
24K Magic,18330,Bruno Mars,New
4 Seasons Of Loneliness,18316,Boys II Men,New
"5, 6, 7, 8",18621,Steps,New
7 Minutes,18335,Darren Espanto,New
A Day In the Life Of A Fool,18545,Jack Jones,New
A Drop In The Ocean,18440,Ron Pope,New
A Mother's Love,18398,Jim Brickman,New
A Promise I Make,18401,Dakota Moon,New
Ain't Talkin' Bout Love,18413,Van Halen,New
Aking Ama,18583,Lil Coli,New
Aking Prinsesa,18467,Gimme 5,New
Ako Ay Probinsyano,18499,"Gloc-9 ft Ebe
Dancel",New
Alam,18538,Darren Espanto,New
All I Want For Christmas,18285,Mariah Carey,New
All In My Mind,18530,Maxine Brown,New
All Night,18442,The Vamps,New
All Night,18625,Beyonce,New
All The Time In the World,18496,Dr. Hook,New
American Idiot,18369,Greenday,New
An Affair To Remember,18306,Vic Damone,New
Anak Ka Ng Ina Mo,18577,The Youth,New
And We Were Lovers,18489,Andy Williams,New
Ang Darling Kong Zombie,18468,Tanya Markova,New
Another Love,18315,Tom Odell,New
Are You Gonna Kiss Me Or Not,18511,Thompson Square,New
Ass Back Home,18292,Gym Class Heroes,New
Ayaw Na Kung Ayaw,18584,Cathy Go,New
A-YO,18436,Lady Gaga,New
Babe Come Home To Me,18429,Paul Toledo,New
Baby Love,18387,Nicole Scherzinger ft,New
Baby You're The Reason,18612,Sarah Geronimo,New
Bad Girls,18671,MKTO,New
Baka Sakali,18585,Jay Jimenez,New
Banyo Queen,18526,"Andrew E. ft
Rica Paralejo",New
Barkada Ko,18320,Isla Era,New
Ba't Di Mo Na Kaya,18293,"Sherwin
Baguion",New
Beautiful In White,18348,Westlife,New
Because Of Love,18587,Janet Jackson,New
Beetlebum,18668,Blur,New
Before We Come Undone,18294,Kris Allen,New
Better Love,18308,Hozier,New
Better Man,18610,Pearl Jam,New
Better Than I Know Myself,18295,Adam Lambert,New
Binibini sa MRT,18343,the Juans,New
Birthday,18338,Namie Amuro,New
Bloody Mary,18388,Lady Gaga,New
Body Dancer,18659,Magic Fire,New
Body Moves,18535,DNCE,New
Bonfire Love Song,18341,James Reid,New
Breathe,18486,Faith Hill,New
Bring It All Back,18303,S Club 7,New
"Bro, Ikaw Ang Star Ng Pasko",18384,ABS-CBN Artist,New
Broccoli,18329,Big Baby D.R.A.M.,New
Bulalakaw,18596,"Jennylyn
Mercado ft",New
Bumalik Ka Na,18425,Freshmen,New
Butterflies,18576,Spongecola,New
Call,18607,Bamboo,New
Cancer,18634,My Chemical Romance,New
Cars,18520,Gary Numan,New
Change,18539,Tears For Fears,New
Chanson D'Amour,18487,"Manhattan
Transfer",New
Chariot,18447,Gavin DeGraw,New
Chop Suey!,18664,System Of A Down,New
Christmas Bonus,18287,Aegis,New
Click My Fingers,18537,The Tide,New
Conviction Of The Heart,18404,Kenny Loggins,New
Cowboys From Hell,18648,Pantera,New
Cranes In The Sky,18324,Solange,New
Crash My Party,18296,Luke Bryan,New
Crashed The Wedding,18589,Busted,New
Crazy Kids,18390,"Kesha ft
will.i.am",New
Criminal,18297,Britney Spears,New
Cry,18559,Romie Medalla,New
Dahan Dahan Dahan Lang,18377,Ylona Garcia,New
Dahil Puso Tinali Na,18472,KJ Reyes,New
Dance Off,18331,"Macklemore &
Ryan Lewis",New
Dangerous,18527,Before You Exit,New
Dangerously,18632,Charlie Puth,New
Dark Necessities,18408,"Red Hot Chili
Peppers",New
Dating Tayo,18427,TJ Monterde,New
Dearest One,18433,Lord Soriano,New
Di Na Muli,18500,Itchyworms,New
Dirt Road Anthem,18298,Jason Aldean ft Lodacris,New
Disappeared,18299,3T,New
Discovery,18317,Brian Mcknight,New
DNA,18300,Little Mix,New
Do You Miss Me,18350,Morris Albert,New
Don't Dream It's Over,18488,Sixpence None The Richer,New
Don't Wanna Know,18628,"Maroon 5
Kendrick Lamar",New
Doo Wah Diddy,18528,Manfred Mann,New
Empty,18599,The Click Five,New
End Of The World (E.O.W),18509,Tanya Markova,New
Fall For Me,18453,Kyle Echarri,New
Falling In,18450,Lifehouse,New
Famous,18402,Nathan Sykes,New
Fantasy,18397,Gerard Kenny,New
Firepower,18594,Bamboo,New
First Date,18465,Blink 182,New
Five Minutes To Midnight,18669,Boys Like Girls,New
Forever More (I'll Be The One),18593,James Ingram,New
Foster The People,18310,Helena Beat,New
Fresh Eyes,18355,Andy Grammer,New
Friendzone Mo Mukha Mo,18469,Parokya Ni Edgar,New
From The Heart,18483,Another Level,New
Gangsta,18434,Kehlani,New
Get On Your Knees,18548,"Nicki Minaj ft
Ariana Grande",New
Ghost,18414,Ella Henderson,New
Giliw Ko,18323,Rockstar,New
Give It Up,18309,Nathan Sykes ft. G-Eazy,New
Give Me A Reason,18543,Anja Aguilar,New
Give You What You Like,18415,Avril Lavigne,New
Glass,18412,Thompson Square,New
